investor_name,investment_year,investment_type,investment_amount
Sara,2010,Bonds,34685.24
Michael,2013,Bonds,21755.66
Oliver,2018,Bonds,44267.2
Bob,2022,Stocks,30398.94
Eva,2010,Mutual Funds,45560.78
Bob,2016,Real Estate,22449.03
Oliver,2016,Stocks,30753.31
Sophia,2019,Stocks,49315.5
Michael,2018,Bonds,49486.22
Sophia,2011,Stocks,9966.92
John,2018,Stocks,2121.39
John,2020,Bonds,1773
Eva,2019,Mutual Funds,7024.89
Sara,2015,Bonds,2557.12
Sara,2019,Bonds,7929
Sara,2010,Bonds,37353.47
Alice,2010,Bonds,49445.83
Eva,2017,Mutual Funds,22435.24
Michael,2020,Mutual Funds,34278.75
David,2019,Stocks,26921.73
Sara,2018,Mutual Funds,1882.46
Sophia,2015,Real Estate,6016.64
Oliver,2022,Stocks,9765.99
Michael,2011,Real Estate,27279.96
Bob,2015,Stocks,23415.34
Sophia,2013,Mutual Funds,13531.93
Michael,2014,Real Estate,13601.34
Sophia,2016,Bonds,20905.65
John,2013,Real Estate,19736
David,2022,Real Estate,25057.06
Oliver,2015,Mutual Funds,42862.5
Sara,2017,Mutual Funds,47391.46
Alice,2014,Mutual Funds,24073.59
Eva,2014,Mutual Funds,41584.66
Bob,2016,Stocks,30013.08
Michael,2015,Stocks,4683.51
Alice,2020,Mutual Funds,25561.23
Alice,2022,Mutual Funds,4736.52
John,2019,Mutual Funds,41350.64
Sophia,2020,Real Estate,40923.88
Bob,2013,Bonds,35269.04
David,2012,Mutual Funds,8557.2
Eva,2019,Mutual Funds,30478.43
Eva,2011,Bonds,4830.88
Sara,2017,Bonds,27008.68
Eva,2021,Stocks,17920.43
Emma,2014,Mutual Funds,40068.71
Eva,2014,Mutual Funds,19456.84
David,2016,Stocks,41380.16
Oliver,2018,Real Estate,49266.33
Sara,2021,Real Estate,48293.39
Oliver,2017,Stocks,18914.39
Oliver,2022,Real Estate,25173.99
Oliver,2016,Bonds,33435.44
Sophia,2012,Mutual Funds,42708.36
David,2022,Real Estate,43247.21
Sara,2017,Stocks,47590.46
Emma,2015,Stocks,34952.26
Bob,2017,Bonds,13923.03
Bob,2022,Mutual Funds,20194.71
Sophia,2011,Real Estate,29382.83
Michael,2013,Real Estate,28427.92
Michael,2012,Bonds,46647.85
John,2013,Mutual Funds,33314.1
Emma,2011,Bonds,15560.33
Emma,2015,Mutual Funds,43628.22
Alice,2013,Stocks,45988.87
Sophia,2020,Real Estate,31474.1
Eva,2014,Bonds,29849.79
Bob,2017,Stocks,44274
Michael,2011,Mutual Funds,18590.79
Sophia,2013,Bonds,21305.07
John,2014,Stocks,27285.79
Sara,2017,Real Estate,22190.22
John,2011,Stocks,19361.25
Eva,2019,Real Estate,11015.03
Emma,2010,Real Estate,38033.15
David,2021,Stocks,15847.9
John,2015,Mutual Funds,33645.28
Alice,2010,Bonds,19324.37
Alice,2019,Bonds,32894.78
Eva,2020,Mutual Funds,4052.08
Eva,2020,Mutual Funds,20073.28
John,2012,Real Estate,34436.64
Oliver,2019,Mutual Funds,7428.01
John,2010,Stocks,46328.02
David,2020,Real Estate,7855.61
Emma,2011,Stocks,31233.74
Michael,2021,Stocks,33886.46
Oliver,2019,Mutual Funds,19343.88
John,2018,Mutual Funds,42310.99
Oliver,2011,Real Estate,16928.83
Sara,2022,Stocks,1706.7
Eva,2021,Bonds,27880.97
Alice,2011,Real Estate,10248.78
Oliver,2018,Real Estate,9444.97
John,2016,Mutual Funds,28144.4
Michael,2017,Bonds,41588.91
Michael,2017,Bonds,24559.41
Eva,2020,Stocks,2137.39
John,2019,Mutual Funds,46121.96
Emma,2010,Stocks,43085.02
Sara,2011,Bonds,46059.65
Sophia,2021,Real Estate,30539.25
David,2019,Mutual Funds,26426.21
Bob,2012,Mutual Funds,35076.3
Bob,2020,Bonds,14898.62
Emma,2016,Real Estate,32686.06
Alice,2019,Stocks,41437.37
Bob,2020,Stocks,7109.92
Bob,2016,Mutual Funds,20611.27
Emma,2012,Stocks,38506.42
Oliver,2010,Mutual Funds,14452.05
Alice,2015,Bonds,3071.03
Emma,2013,Bonds,48706.26
Alice,2017,Stocks,30782.31
Bob,2020,Stocks,44861.5
Oliver,2020,Stocks,42469.19
David,2021,Mutual Funds,21061.83
Oliver,2018,Stocks,19304.83
Michael,2016,Stocks,40689.93
Emma,2014,Mutual Funds,20865.38
John,2020,Stocks,4915.63
Bob,2011,Real Estate,17039.83
Michael,2018,Real Estate,3935.16
Bob,2010,Real Estate,1524.97
Sophia,2021,Real Estate,13483.43
Emma,2011,Mutual Funds,32699.64
David,2016,Mutual Funds,30061.14
Eva,2019,Real Estate,37242.87
Bob,2020,Bonds,49540.29
Bob,2019,Mutual Funds,10449.65
Bob,2010,Mutual Funds,19513.24
Sophia,2016,Real Estate,44640.05
Eva,2017,Real Estate,16240.8
Sophia,2019,Bonds,30915.39
Eva,2014,Real Estate,49964.41
David,2022,Stocks,37149.12
Emma,2019,Mutual Funds,1866.86
Sophia,2022,Bonds,28718.8
Sophia,2013,Real Estate,14965.33
Sara,2016,Real Estate,5830.2
Sara,2010,Stocks,4731.5
Sara,2010,Bonds,24009.24
Michael,2011,Real Estate,21467.56
Oliver,2016,Mutual Funds,1622.29
Alice,2016,Real Estate,30507.14
David,2016,Real Estate,17743.77
Sophia,2011,Stocks,4011.09
Oliver,2011,Real Estate,4008.87
David,2020,Bonds,36534.37
Eva,2021,Stocks,42942.62
Sophia,2017,Stocks,30372.67
Alice,2010,Real Estate,32802.62
Eva,2012,Bonds,7716.06
Sophia,2013,Mutual Funds,30373.83
Alice,2017,Mutual Funds,28431.56
Alice,2011,Mutual Funds,37829.51
Michael,2015,Real Estate,19696.5
Oliver,2011,Mutual Funds,39858.92
Sophia,2019,Stocks,12196.84
Emma,2019,Mutual Funds,43352.21
Alice,2015,Stocks,43807.15
Bob,2018,Mutual Funds,27416.62
David,2010,Real Estate,46613.35
John,2015,Mutual Funds,13712.3
Michael,2016,Mutual Funds,39016.94
Sara,2022,Real Estate,13445.17
John,2020,Bonds,24541.53
Oliver,2020,Real Estate,20964.74
Eva,2022,Real Estate,4633.03
Eva,2010,Real Estate,1194.95
John,2015,Stocks,3065.99
Alice,2014,Bonds,30601.76
Alice,2011,Mutual Funds,18074.49
David,2016,Mutual Funds,19133.33
Michael,2021,Bonds,22450.12
Eva,2018,Mutual Funds,7883.82
Michael,2011,Real Estate,26187.96
John,2018,Real Estate,4939.19
John,2012,Stocks,23389.03
Emma,2020,Real Estate,40909.05
Sophia,2018,Mutual Funds,34481.15
Emma,2020,Mutual Funds,45515.99
David,2011,Real Estate,6655.26
Oliver,2022,Stocks,35149.25
Sophia,2015,Real Estate,7056.53
Alice,2013,Bonds,32783.82
Michael,2016,Real Estate,48254.47
Sophia,2018,Bonds,30424.91
David,2016,Real Estate,20396.32
Eva,2016,Stocks,31506.16
Michael,2011,Mutual Funds,12313.25
David,2013,Real Estate,48612.29
Emma,2017,Bonds,45652.11
Bob,2010,Real Estate,10851.94
Emma,2015,Mutual Funds,40473.96
Emma,2019,Real Estate,19795.91
Michael,2020,Real Estate,8766.53
Eva,2020,Bonds,28367.7
David,2020,Stocks,34580.35
Emma,2014,Bonds,3889.52
Eva,2022,Stocks,7645.19
Alice,2014,Bonds,17759.09
Oliver,2022,Bonds,27083.41
David,2011,Bonds,19859.5
Bob,2014,Mutual Funds,37934.74
Alice,2018,Bonds,4220.92
David,2014,Real Estate,44635.89
David,2021,Real Estate,24137.79
Emma,2013,Stocks,24997.19
Sophia,2010,Mutual Funds,3762.89
Eva,2014,Bonds,41490.36
Oliver,2018,Real Estate,18003.89
Oliver,2010,Mutual Funds,48736.28
Oliver,2022,Bonds,42570.34
Oliver,2015,Real Estate,17900.57
Michael,2018,Bonds,28006.43
David,2016,Bonds,4881.52
David,2014,Stocks,16128.78
Sara,2021,Stocks,34413.53
Bob,2013,Stocks,10064.35
Michael,2014,Mutual Funds,38153.59
Oliver,2014,Real Estate,34524.41
Bob,2019,Bonds,10773.04
Eva,2015,Real Estate,29564.79
Emma,2019,Real Estate,14416.83
Bob,2016,Stocks,3107.34
Sara,2014,Real Estate,40814.2
Oliver,2022,Mutual Funds,13709.22
Sara,2014,Mutual Funds,14002.57
Emma,2015,Stocks,26635.24
Oliver,2021,Stocks,13465.8
Sara,2020,Real Estate,15320.8
Emma,2013,Real Estate,37688.03
Alice,2016,Mutual Funds,49515.74
Michael,2022,Bonds,23531.69
Bob,2016,Real Estate,12644.77
Alice,2018,Bonds,1340.09
John,2013,Bonds,16894.42
Emma,2015,Mutual Funds,13192.64
Sara,2015,Real Estate,24641.04
Eva,2014,Mutual Funds,36399.85
Eva,2010,Bonds,21657.35
Emma,2014,Stocks,20174.34
Michael,2013,Mutual Funds,45230.99
Eva,2020,Real Estate,27873.65
Sophia,2019,Stocks,36548.55
Bob,2011,Bonds,40329.72
Eva,2010,Mutual Funds,6011.37
Sophia,2010,Mutual Funds,1973.57
Sara,2012,Stocks,40247.73
Michael,2018,Stocks,19287.88
Sara,2014,Bonds,6735.52
John,2014,Real Estate,30956.55
Sara,2013,Stocks,46934.56
Emma,2018,Bonds,7795.35
John,2014,Stocks,19406.33
Sara,2021,Bonds,8294.76
Bob,2016,Real Estate,17408.39
Eva,2022,Bonds,17721.16
Emma,2010,Real Estate,40558.81
John,2013,Real Estate,11285.13
David,2022,Bonds,38753.96
Michael,2020,Mutual Funds,42821.8
Bob,2016,Stocks,25521
Eva,2021,Mutual Funds,12203.27
John,2012,Mutual Funds,1680.81
Bob,2018,Mutual Funds,33581.06
Michael,2016,Stocks,3017.02
John,2022,Real Estate,8500.03
John,2013,Stocks,7637.22
Emma,2021,Mutual Funds,27155.06
Emma,2022,Stocks,38171.59
Eva,2019,Stocks,12777.48
David,2022,Stocks,44855.81
Eva,2010,Mutual Funds,13139.99
Bob,2015,Real Estate,47564.76
Michael,2011,Mutual Funds,36129.73
Emma,2020,Bonds,25021.81
Oliver,2018,Mutual Funds,1835.18
Alice,2018,Mutual Funds,45762.34
Emma,2016,Stocks,45738.75
Eva,2016,Stocks,2726.83
Emma,2014,Real Estate,43514.08
Emma,2011,Stocks,11038.5
Emma,2017,Real Estate,8849.55
John,2017,Stocks,42850.25
David,2022,Bonds,30315.59
Alice,2011,Real Estate,8469.4
John,2016,Bonds,25771.78
David,2015,Real Estate,14082.03
Sara,2022,Bonds,36877.97
Alice,2019,Stocks,19315.67
Michael,2017,Real Estate,23274.68
Oliver,2013,Mutual Funds,38225.19
Eva,2017,Bonds,40606.63
Oliver,2021,Stocks,16853.87
Oliver,2014,Real Estate,7146.36
Emma,2012,Mutual Funds,32296.86
John,2015,Stocks,4155.37
Oliver,2016,Bonds,47684.95
Oliver,2012,Real Estate,42404.94
Sophia,2014,Mutual Funds,46309.31
Bob,2014,Mutual Funds,2731.36
Emma,2019,Stocks,19916.3
Michael,2010,Bonds,25002.81
Bob,2015,Real Estate,9497.42
Eva,2014,Mutual Funds,31194.12
John,2020,Mutual Funds,21674.32
Bob,2016,Stocks,21405.89
Bob,2017,Mutual Funds,43704.56
Bob,2014,Mutual Funds,29135.01
Oliver,2011,Mutual Funds,32055.77
John,2012,Real Estate,44909.44
Bob,2020,Bonds,13589.72
Sophia,2022,Mutual Funds,5565.29
Sara,2015,Mutual Funds,40407.11
Michael,2015,Stocks,43267.56
Eva,2014,Real Estate,34540.53
Michael,2020,Bonds,16484.34
Sara,2021,Stocks,17808.68
Bob,2015,Stocks,44184.01
Sara,2013,Real Estate,38768.14
Eva,2010,Real Estate,33969.43
Alice,2013,Mutual Funds,3194.23
David,2016,Real Estate,40551.77
Alice,2022,Real Estate,10296.58
Sophia,2022,Real Estate,3777.15
Emma,2016,Bonds,26373.1
Sophia,2019,Mutual Funds,7723.62
Emma,2017,Stocks,46649.2
John,2012,Bonds,43327.78
David,2014,Bonds,8835.05
Emma,2011,Real Estate,35170.39
David,2018,Real Estate,43192.95
Eva,2018,Stocks,46237.99
Bob,2014,Mutual Funds,44081.78
David,2011,Real Estate,1016.47
David,2020,Stocks,9571.07
David,2010,Mutual Funds,34498.53
Oliver,2019,Bonds,8472.08
Sara,2018,Bonds,41703.62
David,2017,Real Estate,15596.76
Michael,2018,Bonds,2362.87
Bob,2016,Real Estate,6259.6
Bob,2010,Real Estate,20426.96
Emma,2011,Bonds,22092.83
Bob,2016,Stocks,49957.76
Alice,2019,Real Estate,30338.15
Bob,2010,Mutual Funds,28292.31
Alice,2022,Stocks,25220.52
Sara,2010,Bonds,18436.62
Michael,2011,Mutual Funds,13889.52
Sophia,2020,Real Estate,19583.53
Sara,2022,Real Estate,44243.72
David,2020,Mutual Funds,40501.58
Eva,2012,Mutual Funds,41945.99
Alice,2014,Stocks,32666.05
Eva,2020,Stocks,2616.47
David,2020,Real Estate,8264.92
Sara,2012,Bonds,27305.18
David,2022,Stocks,31706.45
Eva,2015,Mutual Funds,2732.89
Oliver,2015,Stocks,45611.79
Michael,2013,Bonds,35012.68
Sara,2021,Bonds,27517.66
Michael,2022,Mutual Funds,23548.63
David,2012,Bonds,44462.07
Michael,2014,Bonds,7276.16
John,2016,Stocks,11336.16
John,2014,Mutual Funds,24367.13
Michael,2020,Mutual Funds,40916.89
John,2019,Mutual Funds,13042.14
Eva,2015,Bonds,25621.62
Alice,2016,Stocks,8894.85
Michael,2022,Real Estate,27201.3
Bob,2011,Real Estate,14958.27
Sophia,2019,Real Estate,45975.99
Alice,2021,Real Estate,11250.37
John,2020,Stocks,19140.74
Michael,2017,Stocks,33361.91
David,2012,Bonds,48406.92
Bob,2012,Real Estate,14739.5
Bob,2016,Real Estate,16828
Bob,2019,Mutual Funds,39831.04
John,2019,Stocks,33374.68
Sophia,2017,Stocks,6437.76
Sara,2022,Stocks,29346.49
Emma,2022,Stocks,32190.76
Sophia,2020,Real Estate,29784.97
Alice,2021,Stocks,46377.8
Michael,2018,Mutual Funds,14500.35
Alice,2020,Real Estate,20460.66
Emma,2016,Real Estate,1005.93
Emma,2019,Mutual Funds,6804.23
Bob,2012,Real Estate,15067.04
Alice,2017,Real Estate,43780.35
David,2011,Real Estate,25662.79
Sara,2010,Real Estate,2856.47
Emma,2013,Stocks,48348.92
Emma,2018,Mutual Funds,30220.26
Oliver,2010,Bonds,22720.59
Oliver,2016,Bonds,48513.34
John,2020,Stocks,38955.69
Bob,2013,Bonds,21998.15
Emma,2014,Stocks,42243.45
Sara,2019,Stocks,39501.54
Bob,2017,Mutual Funds,38541.85
Oliver,2016,Real Estate,21831.42
Michael,2010,Bonds,15449.67
Alice,2022,Stocks,2915.39
Bob,2011,Stocks,27626.64
Oliver,2022,Bonds,31025.74
Eva,2013,Stocks,35768.46
David,2014,Bonds,10796.52
Michael,2019,Real Estate,31538.72
Alice,2022,Stocks,20382.49
Eva,2012,Mutual Funds,43043.74
Eva,2011,Stocks,6000.23
Emma,2018,Real Estate,1573.4
Eva,2022,Real Estate,35431.88
David,2015,Real Estate,23019.64
Emma,2017,Stocks,12773.66
David,2013,Bonds,46055.07
Alice,2016,Stocks,13562.43
Sophia,2010,Stocks,38147.23
Bob,2020,Mutual Funds,17601.22
Alice,2019,Stocks,36769.12
David,2013,Stocks,8346.3
Emma,2018,Stocks,38309.82
John,2014,Real Estate,13437.89
Alice,2012,Real Estate,30407.49
John,2011,Bonds,13467.27
John,2011,Bonds,27294.17
Sara,2017,Real Estate,25009.23
Michael,2014,Stocks,38375.61
Sara,2022,Real Estate,21464.78
Eva,2019,Bonds,7279.18
Michael,2017,Mutual Funds,24088.51
Bob,2016,Bonds,22514.62
Eva,2011,Bonds,11237.3
Michael,2021,Mutual Funds,4868.93
Sophia,2018,Bonds,46125.37
Emma,2016,Real Estate,10048.25
David,2019,Bonds,27891.42
Bob,2022,Real Estate,34176.23
Eva,2019,Mutual Funds,15414.44
Eva,2010,Stocks,8517.74
Sophia,2012,Mutual Funds,18339.17
Sara,2016,Mutual Funds,41791.81
Sophia,2018,Real Estate,19849.05
David,2022,Real Estate,8719.7
Eva,2017,Real Estate,3881.01
John,2011,Real Estate,19422.28
Oliver,2022,Bonds,40217.96
Alice,2017,Bonds,17130.59
Emma,2019,Bonds,42966.49
Sophia,2019,Stocks,16632.71
Eva,2017,Real Estate,37939.75
Eva,2015,Bonds,38468.46
John,2017,Real Estate,26287.9
Alice,2015,Real Estate,6015.06
Michael,2021,Mutual Funds,22705.51
Sophia,2011,Mutual Funds,8706.53
Oliver,2015,Stocks,26781.13
Eva,2020,Bonds,36427.16
Alice,2018,Real Estate,11620.09
John,2016,Mutual Funds,1178.35
Alice,2013,Stocks,30512.59
Oliver,2012,Bonds,23648.56
Emma,2014,Real Estate,37128.71
Bob,2021,Bonds,5363.13
Alice,2017,Mutual Funds,8795.9
Emma,2017,Stocks,32258.29
Emma,2012,Stocks,20758.22
Michael,2019,Stocks,14696.22
Bob,2011,Real Estate,28516.86
Alice,2017,Mutual Funds,45487.8
Michael,2020,Stocks,11837.29
Eva,2019,Stocks,16514.4
Oliver,2016,Stocks,44379.71
John,2020,Mutual Funds,16558.74
John,2020,Mutual Funds,44991.24
Oliver,2022,Stocks,4185.77
Emma,2021,Real Estate,4449.33
John,2013,Stocks,13436.71
Sophia,2019,Real Estate,48289.11
Emma,2019,Stocks,15677.95
Sophia,2010,Stocks,44294.2
David,2012,Bonds,32037.71
John,2021,Real Estate,1060.68
Eva,2019,Real Estate,24530.02
Eva,2022,Stocks,5432.38
David,2012,Bonds,23146.13
Sara,2017,Bonds,37342.22
Sophia,2020,Real Estate,8211.69
Eva,2017,Mutual Funds,35263.31
Sophia,2010,Stocks,35688.32
Sophia,2022,Bonds,3818.03
Emma,2014,Mutual Funds,3320.79
Alice,2014,Bonds,48738.16
Michael,2016,Real Estate,2739.71
Alice,2015,Mutual Funds,23391.71
Bob,2011,Mutual Funds,26299.06
Michael,2015,Stocks,32202.88
David,2016,Bonds,20722.58
David,2018,Real Estate,10060.72
David,2011,Bonds,27517.68
John,2022,Stocks,47592.06
Emma,2019,Stocks,42972.43
Oliver,2020,Bonds,30793.24
David,2013,Real Estate,1317.12
Bob,2020,Mutual Funds,37966.6
Bob,2016,Bonds,33895.4
Emma,2014,Mutual Funds,44733.03
David,2022,Real Estate,19005.61
Bob,2012,Stocks,48354.48
John,2018,Stocks,30588.73
Eva,2022,Mutual Funds,41895.03
Emma,2015,Real Estate,1047.79
Bob,2021,Real Estate,10542.84
David,2017,Bonds,40702.43
Emma,2010,Mutual Funds,22239.2
John,2020,Stocks,30332.77
Sara,2018,Real Estate,3042.31
Sara,2020,Stocks,37218.01
Sophia,2016,Stocks,28571.83
Michael,2018,Real Estate,35873.14
John,2012,Bonds,22177.49
Oliver,2012,Real Estate,25699.62
Bob,2016,Bonds,10611.52
Bob,2013,Mutual Funds,48960.79
John,2010,Stocks,43947.16
John,2012,Mutual Funds,42572.04
David,2020,Mutual Funds,36834.03
Michael,2013,Bonds,8303.44
Sophia,2013,Stocks,40331.65
Alice,2019,Bonds,38428.22
Alice,2022,Stocks,40522.57
Sara,2015,Real Estate,25350.87
Oliver,2018,Bonds,33947.96
Sara,2010,Stocks,19325.01
Sara,2012,Real Estate,47889.34
Michael,2019,Real Estate,3571.22
Oliver,2018,Bonds,12259.64
Sara,2014,Mutual Funds,41850.43
Emma,2022,Stocks,8266.89
Sophia,2010,Mutual Funds,37087.11
Eva,2018,Bonds,37724.82
Eva,2018,Bonds,39645.75
Michael,2016,Mutual Funds,14051.23
Sophia,2015,Real Estate,3183.76
Eva,2020,Real Estate,37881.1
Bob,2013,Bonds,38114.71
Sophia,2014,Mutual Funds,40281.65
John,2011,Mutual Funds,16227.04
Alice,2017,Real Estate,23378.84
Oliver,2022,Real Estate,36335.06
Sara,2021,Mutual Funds,42226.49
Eva,2012,Real Estate,13477.78
Michael,2013,Bonds,24756.9
Eva,2017,Real Estate,32537.45
Emma,2019,Stocks,32100.91
Sophia,2018,Bonds,31433.09
John,2014,Mutual Funds,37321.55
David,2016,Bonds,30497.94
Oliver,2012,Bonds,44935.88
Eva,2012,Real Estate,11878.06
Sophia,2021,Bonds,36755.32
Bob,2016,Mutual Funds,31168.74
Eva,2020,Real Estate,39235.01
Bob,2013,Real Estate,24461.97
Bob,2010,Stocks,35781.09
David,2017,Bonds,41551.97
Emma,2015,Real Estate,39761.31
Eva,2022,Bonds,16206.24
Eva,2015,Bonds,38840.23
Michael,2010,Real Estate,10793.21
Michael,2020,Mutual Funds,16074.6
Emma,2015,Real Estate,32986.76
Sophia,2020,Real Estate,12869.28
David,2010,Mutual Funds,5585.06
Eva,2019,Bonds,40376.07
Bob,2014,Real Estate,19043.82
John,2014,Real Estate,15051.85
Sophia,2011,Stocks,16216.25
Sara,2010,Mutual Funds,28056.4
Sophia,2018,Bonds,44197.94
Eva,2019,Real Estate,17526.19
Alice,2010,Stocks,25987.15
Emma,2017,Stocks,36380.98
Sophia,2012,Real Estate,25937.75
Sara,2018,Bonds,41094.45
John,2021,Stocks,18980.8
Emma,2013,Stocks,13485.48
John,2021,Bonds,4627.33
Bob,2020,Real Estate,19489.78
David,2013,Real Estate,3894.2
Emma,2022,Stocks,6238.49
Michael,2012,Bonds,2475.12
Alice,2016,Real Estate,26992.44
Michael,2012,Real Estate,18920.6
David,2021,Stocks,49542.19
Bob,2012,Mutual Funds,30662.32
Alice,2010,Real Estate,1969.79
David,2011,Stocks,23760.59
Alice,2017,Mutual Funds,15807.71
Eva,2010,Stocks,28787.96
Sophia,2015,Bonds,36537.29
Sara,2019,Bonds,26686.93
Emma,2018,Stocks,2742.47
Emma,2012,Mutual Funds,31073.55
Oliver,2018,Mutual Funds,47727.79
Sophia,2014,Bonds,45173.53
Sophia,2022,Stocks,7016.71
Michael,2014,Bonds,27095.51
Emma,2011,Real Estate,30918.77
Alice,2012,Bonds,40387.52
Alice,2016,Stocks,31526.26
Bob,2014,Bonds,32732.62
Alice,2017,Bonds,20545.43
Eva,2017,Stocks,1047.37
Eva,2019,Mutual Funds,32545.01
Bob,2019,Mutual Funds,36255.64
Eva,2020,Mutual Funds,30159.51
Michael,2019,Real Estate,26161.32
Bob,2018,Real Estate,26132.85
Michael,2021,Mutual Funds,19578.47
Sophia,2018,Mutual Funds,30115.09
Alice,2017,Real Estate,12742.11
Oliver,2013,Mutual Funds,44047.41
Oliver,2014,Mutual Funds,8412.09
Alice,2022,Real Estate,29815.26
Eva,2013,Mutual Funds,14684.71
Alice,2019,Real Estate,13138.85
Sophia,2011,Real Estate,33671.58
Sara,2010,Mutual Funds,38998.3
Sara,2021,Real Estate,44421.61
Michael,2018,Stocks,20835.51
Oliver,2018,Real Estate,30218.36
Emma,2012,Real Estate,44021.64
Bob,2012,Bonds,7379.97
Alice,2013,Mutual Funds,42593.03
Bob,2022,Mutual Funds,1229.43
Alice,2018,Real Estate,3023.36
Sophia,2010,Stocks,40382.16
Eva,2017,Mutual Funds,14710.08
Bob,2012,Bonds,40389.66
David,2016,Bonds,9256.52
Oliver,2019,Real Estate,23618.3
Michael,2015,Real Estate,46196.85
Michael,2020,Bonds,23752.35
Sara,2018,Real Estate,24001.77
Eva,2022,Bonds,1069.94
Oliver,2022,Real Estate,8212.2
Sophia,2019,Stocks,2567.88
Sara,2016,Bonds,23372.61
Sophia,2012,Mutual Funds,47299.23
Sophia,2011,Stocks,28909.64
David,2018,Real Estate,22145.76
Alice,2017,Real Estate,5724.73
Sara,2015,Real Estate,26634.5
John,2019,Mutual Funds,12230.27
Alice,2013,Mutual Funds,8518.03
Sophia,2017,Real Estate,12501.93
John,2013,Real Estate,45126.53
Eva,2014,Real Estate,13649.36
Eva,2022,Real Estate,10297.62
Oliver,2010,Bonds,35215.06
Sara,2020,Stocks,48785.39
Sophia,2012,Mutual Funds,24823.79
Sophia,2016,Real Estate,4668.37
